"Category","Series' name"
"REPAIRSERVICES",18
"UNKNOWN",7
"OFFICE",36
"OUTDOORREC",5
"PARK",126
"HANGAR",26
"OTHERLODGINGRES",1
"VACANT",2
"OTHERSERVICES",2
"MUSEUM",11
"ENERGYPOWERSTATI",1
"PARKING",17
"Other - Rec",3
"OTHERRECREATION",2
"UKNOWN",1
"FOOD",1
"TRANSPORTATIONTE",20
"OTHERUTILITY",1
"SWIMMINGPOOL",21
"Other - Services",1
"RESTAURANT",4
"MULTIHOUSING",19
"WAREHOUSE-UNREFR",10
"OTHER",2
"CEMETERY",1
"ARTCENTER",2
"FIRESTATION",59
"Retail",1
"COMMUNITYCENTER",17
"RETAIL",3
"SOCIALMEETINGHAL",3
"VOCATIONALSCHOOL",6
"MIXEDUSEPROPERTY",3
"LANDFILL",6
"SENIORCENTER",4
"TRACK",1
"WELL",1
"FOODSERVICE",1
"PERFORMINGARTS",4
"Office",1
"LIBRARY",15
"WAREHOUSEUR",1
"POLICESTATION",14
"LIFESTYLECENTER",1
"FITNESSCENTERGYM",2
"GYM_STADIUM",1
"ADULTEDUCATION",2
"OTHERSTADIUM",1
"DISTRIBUTION",3
"CONVENTION_CN",2
"COURTHOUSE",1
"MRF",2
"LABORATORY",1